,true_value,impute_value
0,442.2921623,442.2921623
1,462.2304085,462.2304085
2,462.0975102,462.0975102
3,546.2816454,546.2816454
4,597.9939543,597.9939543
5,620.1879551,620.1879551
6,644.9943763,644.9943763
7,644.6923399,644.6923399
8,667.3394299,457.19862622622844
9,628.0164688,628.0164688
10,620.5994976,620.5994976
11,662.1223161,662.1223161
12,723.8155308,723.8155308
13,778.8430823,778.8430823
14,766.8271179,766.8271179
15,765.6376709,765.6376709
16,764.5300919,764.5300919
17,767.5257746,767.5257746
18,785.9851261,785.9851261
19,761.3656892,464.46804729069925
20,763.2767473,763.2767473
21,768.7378175,768.7378175
22,805.6179045,805.6179045
23,822.250507,822.250507
24,789.8430772,789.8430772
25,809.0249339,809.0249339
26,803.6006511,803.6006511
27,817.5244515,817.5244515
28,820.8315266,820.8315266
29,838.7787582,838.7787582
30,856.2588801,856.2588801
31,822.2798184,822.2798184
32,810.9719999,810.9719999
33,817.335137,817.335137
34,830.1243505,830.1243505
35,868.2686365,868.2686365
36,869.5549933,869.5549933
37,867.5782312,867.5782312
38,873.5242031,873.5242031
39,883.5715133,883.5715133
40,901.1771469,901.1771469
41,889.7953459,889.7953459
42,900.7854422,900.7854422
43,897.7841049,460.80955094912565
44,888.2985494,888.2985494
45,864.4524335,864.4524335
46,880.636099,880.636099
47,898.2303395,898.2303395
48,914.2712042,914.2712042
49,930.5891759,930.5891759
50,910.0251274,457.8359074869487
51,913.9687055,913.9687055
52,896.4734774,896.4734774
53,894.2779769,894.2779769
54,926.0007776,926.0007776
55,862.1941925,862.1941925
56,867.1686978,867.1686978
57,883.2193823,883.2193823
58,861.9716491,861.9716491
59,876.6851007,876.6851007
60,847.3274335,847.3274335
61,869.7177323,869.7177323
62,844.1208745,844.1208745
63,906.7599349,906.7599349
64,910.9992977,910.9992977
65,935.6599718,935.6599718
66,920.7960361,920.7960361
67,912.065833,912.065833
68,924.3374763,924.3374763
69,923.1578611,923.1578611
70,874.6270254,874.6270254
71,892.3595759,892.3595759
72,895.6922584,895.6922584
73,911.25796,911.25796
74,883.9323623,883.9323623
75,895.8153874,895.8153874
76,887.5344081,463.46389186489307
77,869.5585576,869.5585576
78,862.2830685,862.2830685
79,874.1547893,874.1547893
80,895.6780599,895.6780599
81,897.4942789,897.4942789
82,1017.602955,1017.602955
83,920.8729961,920.8729961
84,905.871576,905.871576
85,876.0056514,876.0056514
86,873.3662605,873.3662605
87,910.7001626,910.7001626
88,930.1244442,930.1244442
89,892.3616669,892.3616669
90,876.7792872,876.7792872
91,893.7138693,893.7138693
92,862.5543287,862.5543287
93,886.2479011,886.2479011
94,896.3827895,896.3827895
95,882.5168341,882.5168341
96,878.1899898,878.1899898
97,903.3297007,903.3297007
98,873.4091771,873.4091771
99,865.4330772,865.4330772
100,893.9679712,893.9679712
101,897.7348554,464.64005912665147
102,840.9201581,840.9201581
103,850.4950818,850.4950818
104,844.234176,844.234176
105,828.9415642,461.226414165416
106,837.2772484,837.2772484
107,805.842893,805.842893
108,778.4522953,778.4522953
109,768.5548612,768.5548612
110,754.6561489,754.6561489
111,754.7956022,754.7956022
112,741.8717381,741.8717381
113,739.4400126,739.4400126
114,705.096336,705.096336
115,705.4155799,705.4155799
116,705.8665328,705.8665328
117,672.3998884,672.3998884
118,642.6795942,461.7930718615676
119,637.7376764,637.7376764
120,632.6236442,632.6236442
121,587.0173947,587.0173946999998
122,580.5659889,580.5659889
123,602.2320108,602.2320108
124,588.4525506,461.14764615554463
125,556.7928518,465.36949061302323
126,516.9675223,516.9675223
127,514.4509761,514.4509761
128,504.7574751,504.7574751
129,524.9317307,524.9317307
130,512.0797399,512.0797399
131,495.7094349,495.7094349
132,476.2133695,476.2133695
133,474.6170164,474.6170164
134,489.1388756,489.1388756
135,499.6377052,499.6377052
136,489.6717064,489.6717064
137,470.8904098,470.8904098
138,463.0250139,463.0250139
139,489.5052683,489.5052683
140,461.6993505,461.6993505
141,475.3555509,475.3555509
142,449.7669668,466.3886110973362
143,473.0066853,459.7417364667482
144,449.2296499,449.2296499
145,420.2041317,420.2041317
146,421.243289,421.243289
147,430.4748238,430.4748238
148,443.3056005,443.3056005
149,431.8499119,431.8499119
150,435.0084589,435.0084589
151,455.8625787,455.8625787
152,453.3271215,453.3271215
153,444.0326958,444.0326958
154,436.1675218,436.1675218
155,433.2208139,462.24976515665304
156,432.1648989,432.1648989
157,437.5769219,437.5769219
158,425.4582635,467.63497023928323
159,441.5634942,441.5634942
160,429.2678335,429.2678335
161,422.0615388,422.0615388
162,420.8250477,420.8250477
163,427.5136843,427.5136843
164,426.770224,426.770224
165,419.4121201,419.4121201
166,416.1488054,416.1488054
167,390.2476687,390.2476687
168,383.8554405,383.8554405
169,389.6865309,389.6865309
170,377.3432701,377.3432701
171,381.6293851,381.6293851
172,377.7087514,377.7087514
173,362.0032682,362.0032682
174,357.6023208,357.6023208
175,349.5180047,349.5180047
176,365.198397,365.198397
177,342.7059473,342.7059473
178,328.6561836,328.65618359999996
179,327.3554971,327.3554971
180,323.1671371,323.1671371
181,320.4078609,320.4078609
182,327.9302408,327.9302408
183,316.4538381,465.0620737765432
184,315.8796815,315.8796815
185,305.3572299,305.3572299
186,312.5944773,312.5944773
187,306.2882717,306.2882717
188,345.7988998,345.7988998
189,281.6463575,281.6463575
190,278.7723476,278.7723476
191,279.7018235,279.7018235
192,296.2679622,296.2679622
193,284.1604993,284.1604993
194,280.4443072,280.4443072
195,290.6917069,290.6917069
196,284.5940815,284.5940815
197,254.6795629,254.6795629
198,250.9486256,466.5353837865375
199,251.3546878,251.3546878
200,281.5505295,281.5505295
201,255.7492077,255.7492077
202,264.2194299,264.2194299
203,262.9737719,262.9737719
204,253.4240505,253.4240505
205,284.5258601,284.5258601
206,267.3664031,267.3664031
207,256.8877463,256.8877463
208,251.1204017,251.1204017
209,244.2518283,244.2518283
210,247.1033024,247.1033024
211,255.9117619,255.9117619
212,226.2607017,226.2607017
213,215.2722045,215.2722045
214,220.1210368,220.1210368
215,216.9521506,216.9521506
216,206.7566499,206.7566499
217,212.8402038,212.8402038
218,206.6624452,206.6624452
219,201.98632,201.98632
220,202.8094039,463.0533887984681
221,205.2974588,460.13859830676506
222,203.419951,203.419951
223,240.2764578,240.2764578
224,214.0491399,214.0491399
225,212.2234352,212.2234352
226,199.3097954,199.3097954
227,200.1530149,200.1530149
228,198.947318,198.947318
229,205.9966735,462.72145228920385
230,205.4189658,205.4189658
231,195.2526834,195.2526834
232,190.182191,190.182191
233,192.8182477,192.8182477
234,194.2152802,457.2508600362089
235,219.978351,219.978351
236,196.6157012,196.6157012
237,184.4486599,184.4486599
238,178.7438083,178.7438083
239,173.9642597,173.9642597
240,172.608989,172.608989
241,190.6194665,190.6194665
242,185.4169321,185.4169321
243,205.8346047,205.8346047
244,186.037623,186.037623
245,177.3299948,177.3299948
246,179.6288323,179.6288323
247,216.3170105,216.3170105
248,199.6871833,199.6871833
249,196.6626199,196.6626199
250,191.3800081,191.3800081
251,194.4854306,194.4854306
252,213.8748068,213.8748068
253,246.1247838,246.1247838
254,215.2395991,215.2395991
255,195.389184,195.389184
256,199.6958102,199.6958102
257,212.9081937,212.9081937
258,275.8209502,275.8209502
259,325.8313653,325.8313653
260,238.3108751,238.3108751
261,227.8394547,465.0360288189496
262,220.6235846,220.6235846
263,219.8628317,219.8628317
264,225.5321598,458.84720009450433
265,246.9710292,246.9710292
266,228.5590019,228.5590019
267,228.9106411,228.9106411
268,241.8671446,241.8671446
269,261.3827516,261.3827516
270,304.3522605,304.3522605
271,304.5759779,304.5759779
272,285.1041849,285.1041849
273,292.7101375,292.7101375
274,294.2097436,294.2097436
